Price,Close,High,Low,Open,Volume
Ticker,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB,DX-Y.NYB
Date,,,,,
2015-01-02,91.08000183105469,91.16000366210938,90.33000183105469,90.36000061035156,0
2015-01-05,91.37999725341797,91.77999877929688,91.12999725341797,91.12999725341797,0
2015-01-06,91.5,91.80999755859375,91.12000274658203,91.37999725341797,0
2015-01-07,91.88999938964844,92.2699966430664,91.6500015258789,91.75,0
2015-01-08,92.37000274658203,92.52999877929688,91.94000244140625,91.94000244140625,0
2015-01-09,91.94000244140625,92.5,91.9000015258789,92.30999755859375,0
2015-01-12,91.9800033569336,92.33999633789062,91.7300033569336,91.87999725341797,0
2015-01-13,92.30999755859375,92.43000030517578,91.80999755859375,92.02999877929688,0
2015-01-14,92.16000366210938,92.41999816894531,91.61000061035156,92.2300033569336,0
2015-01-15,92.3499984741211,92.75,91.51000213623047,92.16000366210938,0
2015-01-16,92.5199966430664,93.26000213623047,92.08000183105469,92.0999984741211,0
2015-01-20,93.05000305175781,93.0999984741211,92.55000305175781,92.66000366210938,0
2015-01-21,92.9000015258789,93.08999633789062,92.1500015258789,93.06999969482422,0
2015-01-22,94.23999786376953,94.5,92.4800033569336,92.88999938964844,14290000
2015-01-23,95.0,95.4800033569336,94.11000061035156,94.20999908447266,0
2015-01-26,94.80000305175781,95.33000183105469,94.58999633789062,95.19999694824219,0
2015-01-27,94.0199966430664,95.01000213623047,93.69999694824219,94.93000030517578,9000000
2015-01-28,94.47000122070312,94.69000244140625,93.97000122070312,94.20999908447266,0
2015-01-29,94.77999877929688,95.01000213623047,94.33000183105469,94.62000274658203,0
2015-01-30,94.80000305175781,94.91999816894531,94.43000030517578,94.66000366210938,0
2015-02-02,94.5,94.87999725341797,94.37000274658203,94.83999633789062,0
2015-02-03,93.5999984741211,94.69999694824219,93.25,94.56999969482422,0
2015-02-04,93.98999786376953,94.52999877929688,93.61000061035156,93.73999786376953,0
2015-02-05,94.69999694824219,94.76000213623047,93.5199966430664,93.5999984741211,0
2015-02-06,94.69999694824219,94.76000213623047,93.5199966430664,93.5999984741211,0
2015-02-09,94.44999694824219,94.87999725341797,94.36000061035156,94.68000030517578,0
2015-02-10,94.76000213623047,94.87999725341797,94.4000015258789,94.5199966430664,0
2015-02-11,94.98999786376953,95.12000274658203,94.63999938964844,94.70999908447266,0
2015-02-12,94.08999633789062,94.97000122070312,93.9800033569336,94.88999938964844,0
2015-02-13,94.19999694824219,94.30999755859375,93.9000015258789,94.19999694824219,0
2015-02-17,94.05999755859375,94.51000213623047,93.80000305175781,94.4000015258789,0
2015-02-18,94.19999694824219,94.52999877929688,93.98999786376953,94.1500015258789,0
2015-02-19,94.4000015258789,94.44999694824219,93.83999633789062,94.08999633789062,0
2015-02-20,94.25,94.79000091552734,94.05000305175781,94.41999816894531,0
2015-02-23,94.56999969482422,94.91999816894531,94.27999877929688,94.31999969482422,0
2015-02-24,94.48999786376953,94.98999786376953,94.43000030517578,94.58000183105469,0
2015-02-25,94.20999908447266,94.4800033569336,94.12999725341797,94.41000366210938,0
2015-02-26,95.29000091552734,95.36000061035156,94.05999755859375,94.19999694824219,0
2015-02-27,95.25,95.36000061035156,94.91000366210938,95.18000030517578,0
2015-03-02,95.45999908447266,95.51000213623047,95.05999755859375,95.26000213623047,0
2015-03-03,95.37999725341797,95.56999969482422,95.0999984741211,95.48999786376953,0
2015-03-04,95.97000122070312,96.05999755859375,95.31999969482422,95.37999725341797,0
2015-03-05,96.37999725341797,96.58999633789062,95.83999633789062,95.97000122070312,0
2015-03-06,97.62000274658203,97.7300033569336,96.30000305175781,96.36000061035156,0
2015-03-09,97.58999633789062,97.77999877929688,97.29000091552734,97.72000122070312,0
2015-03-10,98.62000274658203,98.80999755859375,97.77999877929688,97.77999877929688,0
2015-03-11,99.80000305175781,99.98999786376953,98.48999786376953,98.6500015258789,0
2015-03-12,99.1500015258789,100.05999755859375,98.6500015258789,99.69999694824219,0
2015-03-13,100.33000183105469,100.38999938964844,99.19000244140625,99.19000244140625,0
2015-03-16,99.5999984741211,100.2699966430664,99.31999969482422,100.26000213623047,0
2015-03-17,99.58999633789062,99.83000183105469,99.2300033569336,99.66999816894531,0
2015-03-18,98.55000305175781,99.80000305175781,96.62999725341797,99.5999984741211,0
2015-03-19,99.0999984741211,99.45999908447266,97.20999908447266,97.80000305175781,0
2015-03-20,97.91000366210938,99.12000274658203,97.44999694824219,99.04000091552734,0
2015-03-23,97.02999877929688,98.23999786376953,96.83000183105469,97.80000305175781,0
2015-03-24,97.19000244140625,97.37999725341797,96.38999938964844,96.93000030517578,0
2015-03-25,96.9800033569336,97.30000305175781,96.54000091552734,97.22000122070312,0
2015-03-26,97.44000244140625,97.55000305175781,96.16999816894531,96.91000366210938,0
2015-03-27,97.29000091552734,97.91999816894531,96.98999786376953,97.37999725341797,0
2015-03-30,97.9800033569336,98.06999969482422,97.38999938964844,97.38999938964844,0
2015-03-31,98.36000061035156,98.66999816894531,97.83000183105469,97.91999816894531,0
2015-04-01,98.19000244140625,98.63999938964844,97.9800033569336,98.41999816894531,0
2015-04-02,97.44000244140625,98.27999877929688,97.33000183105469,98.18000030517578,0
2015-04-06,97.11000061035156,97.23999786376953,96.33000183105469,96.73999786376953,0
2015-04-07,97.83000183105469,98.0199966430664,96.93000030517578,97.05999755859375,0
2015-04-08,98.06999969482422,98.19999694824219,97.25,97.87000274658203,0
2015-04-09,99.16000366210938,99.18000030517578,98.04000091552734,98.05000305175781,0
2015-04-10,99.38999938964844,99.69000244140625,98.83999633789062,98.97000122070312,0
2015-04-13,99.48999786376953,99.98999786376953,99.2300033569336,99.3499984741211,0
2015-04-14,98.76000213623047,99.69999694824219,98.37000274658203,99.44999694824219,0
2015-04-15,98.33000183105469,99.36000061035156,98.22000122070312,98.77999877929688,0
